Council,DEA,Elected,Name,Party,FirstPrefs,PartyGrouped,Category,DataCategory
Antrim and Newtownabbey,Glengormley Urban,Y,"Goodman, Michael",Sinn Féin,904,SF,Nationalist,2019 Votes
Antrim and Newtownabbey,Glengormley Urban,Y,"Cosgrove, Mark",UUP,891,UUP,Unionist,2019 Votes
Antrim and Newtownabbey,Glengormley Urban,Y,"Bennington, Alison",DUP,856,DUP,Unionist,2019 Votes
Antrim and Newtownabbey,Glengormley Urban,Y,"Kinnear, Rosie",Sinn Féin,801,SF,Nationalist,2019 Votes
Antrim and Newtownabbey,Glengormley Urban,,"Burns, Samantha",DUP,373,DUP,Unionist,2019 Votes
Antrim and Newtownabbey,Glengormley Urban,,"Veronica, Paul",Green,341,GP,Other,2019 Votes
Antrim and Newtownabbey,Glengormley Urban,,"Maguire, Michael",UUP,337,UUP,Unionist,2019 Votes
Antrim and Newtownabbey,Macedon,Y,"Webb, Billy",Alliance,1127,AP,Other,2019 Votes
Antrim and Newtownabbey,Macedon,Y,"Hamill, Paul",DUP,1043,DUP,Unionist,2019 Votes
Antrim and Newtownabbey,Macedon,Y,"Hogg, Thomas William",DUP,999,DUP,Unionist,2019 Votes
Antrim and Newtownabbey,Macedon,Y,"Foster, Robert",UUP,956,UUP,Unionist,2019 Votes
Antrim and Newtownabbey,Macedon,Y,"McGrann, Taylor",Sinn Féin,765,SF,Nationalist,2019 Votes
Antrim and Newtownabbey,Macedon,,"Ward, Stafford",Independent,343,Independent,Other,2019 Votes
Antrim and Newtownabbey,Macedon,,"Robinson, Victor",DUP,327,DUP,Unionist,2019 Votes
Antrim and Newtownabbey,Macedon,Y,"McCullough, Dean",DUP,321,DUP,Unionist,2019 Votes
Antrim and Newtownabbey,Macedon,,"Hollis, David",TUV,223,TUV,Unionist,2019 Votes
Antrim and Newtownabbey,Macedon,,"Hill, Robert",UKIP,154,UKIP,Unionist,2019 Votes
Antrim and Newtownabbey,Three Mile Water,Y,"Cooper, Mark",DUP,1230,DUP,Unionist,2019 Votes
Antrim and Newtownabbey,Three Mile Water,Y,"Ross, Stephen",DUP,1103,DUP,Unionist,2019 Votes
Antrim and Newtownabbey,Three Mile Water,Y,"Agnew, Fraser",UUP,1100,UUP,Unionist,2019 Votes
Antrim and Newtownabbey,Three Mile Water,Y,"Campbell, Tom",Alliance,1075,AP,Other,2019 Votes
Antrim and Newtownabbey,Three Mile Water,Y,"Gilmour, Julie",Alliance,749,AP,Other,2019 Votes
Antrim and Newtownabbey,Three Mile Water,,"McCarthy, Stephen",UUP,514,UUP,Unionist,2019 Votes
Antrim and Newtownabbey,Three Mile Water,Y,"Flanagan, Sam",DUP,489,DUP,Unionist,2019 Votes
Antrim and Newtownabbey,Three Mile Water,,"Stewart, Raymond",UKIP,319,UKIP,Unionist,2019 Votes
Antrim and Newtownabbey,Three Mile Water,,"Boyd, Norman Jonathan",TUV,234,TUV,Unionist,2019 Votes
Antrim and Newtownabbey,Three Mile Water,,"Grattan, Gary",Independent,223,Independent,Other,2019 Votes
"Armagh, Banbridge and Craigavon",Armagh,Y,"Keating, Garath",Sinn Féin,2037,SF,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Armagh,Y,"Nicholson, Sam",UUP,1697,UUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Armagh,Y,"Donnelly, Jackie",Sinn Féin,1677,SF,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Armagh,,"Donnelly, Freda",DUP,1638,DUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Armagh,Y,"O'Hanlon, Thomas",SDLP,1491,SDLP,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Armagh,Y,"McNally, Darren",Sinn Féin,1413,SF,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Armagh,Y,"Campbell, Mealla",SDLP,1246,SDLP,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Armagh,,"Kelly, Martin",Aontú,822,Aontú,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Armagh,,"Coade, Jackie",Alliance,674,AP,Other,2019 Votes
"Armagh, Banbridge and Craigavon",Armagh,,"Oh-Again, Pol",Independent,28,Independent,Other,2019 Votes
"Armagh, Banbridge and Craigavon",Banbridge,Y,"Barr, Glenn",UUP,1764,UUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Banbridge,Y,"Greenfield, Paul",DUP,1563,DUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Banbridge,Y,"Pope, Brian",Alliance,1425,AP,Other,2019 Votes
"Armagh, Banbridge and Craigavon",Banbridge,Y,"Macauley, Jill",UUP,1350,UUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Banbridge,,"Doyle, Seamus",SDLP,1309,SDLP,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Banbridge,Y,"Burns, Ian",UUP,1273,UUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Banbridge,Y,"McCrum, Junior",DUP,1232,DUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Banbridge,Y,"Savage, Kevin",Sinn Féin,1038,SF,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Banbridge,,"McAleenan, Vincent",Sinn Féin,676,SF,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Banbridge,,"Martin, William",TUV,508,TUV,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Craigavon,Y,Margaret Tinsley,DUP,1416,DUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Craigavon,Y,Catherine Nelson,Sinn Féin,1332,SF,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Craigavon,Y,Thomas Larkham,SDLP,1244,SDLP,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Craigavon,,Robert Smith,DUP,1105,DUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Craigavon,Y,James Twyble,UUP,1037,UUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Craigavon,Y,Declan McAlinden,SDLP,1014,SDLP,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Craigavon,,Kate Evans,UUP,871,UUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Craigavon,,Michael Tallon,Sinn Féin,727,SF,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Craigavon,,Sean Hagan,Alliance,699,AP,Other,2019 Votes
"Armagh, Banbridge and Craigavon",Craigavon,,Fergal Thomas Lennon,Aontú,230,Aontú,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Cusher,Y,Wilson,DUP,2248,DUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Cusher,Y,Paul Berry,Independent Unionist,2009,Independent Unionist,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Cusher,Y,Speers,UUP,1633,UUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Cusher,Y,Haughey,Sinn Féin,1519,SF,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Cusher,Y,Kennedy,UUP,1229,UUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Cusher,,Dougan,DUP,1215,DUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Cusher,,Livingston,SDLP,901,SDLP,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Cusher,,Hay,Alliance,462,AP,Other,2019 Votes
"Armagh, Banbridge and Craigavon",Cusher,,Bowbanks,Independent,241,Independent,Other,2019 Votes
"Armagh, Banbridge and Craigavon",Lagan River,Y,Baxter,DUP,1876,DUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Lagan River,Y,Savage,UUP,1614,UUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Lagan River,Y,Rankin,DUP,1444,DUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Lagan River,Y,Tennyson,Alliance,960,AP,Other,2019 Votes
"Armagh, Banbridge and Craigavon",Lagan River,,Mercer,UUP,871,UUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Lagan River,Y,McClelland,DUP,678,DUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Lagan River,,Morrison,TUV,499,TUV,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Lagan River,,O'Hare,SDLP,369,SDLP,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Lagan River,,Gorrell,Sinn Féin,227,SF,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Lagan River,,Ogle,Independent Unionist,217,Independent Unionist,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Lagan River,,Stewart,UKIP,129,UKIP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Lurgan,Y,"Haughian, Keith",Sinn Féin,1974,SF,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Lurgan,Y,"McKinstry, Louise",UUP,1524,UUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Lurgan,Y,"Moutray, Stephen",DUP,1504,DUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Lurgan,Y,"Lavery, Peter",Alliance,1321,AP,Other,2019 Votes
"Armagh, Banbridge and Craigavon",Lurgan,,"McWilliams, Terry",DUP,1282,DUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Lurgan,Y,"Mackle, Liam",Sinn Féin,1190,SF,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Lurgan,Y,"Nelson, Joe",SDLP,1046,SDLP,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Lurgan,,"Toman, Ciaran",SDLP,926,SDLP,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Lurgan,Y,"McGeown, Sorcha",Sinn Féin,823,SF,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Lurgan,,"McGeown, Noel",Sinn Féin,454,SF,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Portadown,Y,Causby,DUP,2077,DUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Portadown,Y,Anderson,DUP,1696,DUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Portadown,Y,Duffy,Sinn Féin,1675,SF,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Portadown,Y,Flaherty,UUP,1512,UUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Portadown,Y,"McNeill, Eamonn",SDLP,967,SDLP,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Portadown,Y,McIlwrath,DUP,866,DUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Portadown,,Hutchinson,Alliance,570,AP,Other,2019 Votes
"Armagh, Banbridge and Craigavon",Portadown,,Foster,TUV,547,TUV,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Portadown,,Hatch,UUP,506,UUP,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Portadown,,O'Dufaigh,Sinn Féin,392,SF,Nationalist,2019 Votes
"Armagh, Banbridge and Craigavon",Portadown,,Jones,Independent Unionist,266,Independent Unionist,Unionist,2019 Votes
"Armagh, Banbridge and Craigavon",Portadown,,Jameson,UKIP,149,UKIP,Unionist,2019 Votes
Belfast,Balmoral,Y,"Nicholl, Kate Siobhan",Alliance,1842,AP,Other,2019 Votes
Belfast,Balmoral,Y,"Graham, David",DUP,1442,DUP,Unionist,2019 Votes
Belfast,Balmoral,Y,"Lyons, Donal",SDLP,1306,SDLP,Nationalist,2019 Votes
Belfast,Balmoral,Y,"McAteer, Geraldine",Sinn Féin,1283,SF,Nationalist,2019 Votes
Belfast,Balmoral,Y,"Bunting, Sarah Louise",DUP,1025,DUP,Unionist,2019 Votes
Belfast,Balmoral,,"Mulhern, Michael",SDLP,813,SDLP,Nationalist,2019 Votes
Belfast,Balmoral,,"Dudgeon, Jeffrey",UUP,660,UUP,Unionist,2019 Votes
Belfast,Balmoral,,"O'Connell, Caoimhe",Green,504,GP,Other,2019 Votes
Belfast,Balmoral,,"Mervyn, Padraigin",People Before Profit Alliance,202,PBP,Socialist,2019 Votes
Belfast,Balmoral,,"Traynor, William",UKIP,133,UKIP,Unionist,2019 Votes
Belfast,Black Mountain,Y,"Collins, Matt",People Before Profit Alliance,2268,PBP,Socialist,2019 Votes
Belfast,Black Mountain,Y,"Beattie, Ciaran",Sinn Féin,1893,SF,Nationalist,2019 Votes
Belfast,Black Mountain,Y,"Corr, Steven",Sinn Féin,1864,SF,Nationalist,2019 Votes
Belfast,Black Mountain,Y,"Carson, Arder",Sinn Féin,1634,SF,Nationalist,2019 Votes
Belfast,Black Mountain,Y,"Donnelly, Micheal",Sinn Féin,1535,SF,Nationalist,2019 Votes
Belfast,Black Mountain,Y,"Groves, Emma",Sinn Féin,1431,SF,Nationalist,2019 Votes
Belfast,Black Mountain,Y,"McLaughlin, Ronan",Sinn Féin,1316,SF,Nationalist,2019 Votes
Belfast,Black Mountain,,"Doherty, Paul",SDLP,783,SDLP,Nationalist,2019 Votes
Belfast,Black Mountain,,"Geraghty, Eoin",Aontú,750,Aontú,Nationalist,2019 Votes
Belfast,Black Mountain,,"Norris, Liam",Alliance,213,AP,Other,2019 Votes
Belfast,Black Mountain,,"Maginn, Stevie",Green,204,GP,Other,2019 Votes
Belfast,Black Mountain,,"Campbell, Conor",Workers' Party,162,Workers' Party,Socialist,2019 Votes
Belfast,Botanic,Y,"GROOGAN, Áine",Green,1401,GP,Other,2019 Votes
Belfast,Botanic,Y,"KELLY, Tracy",DUP,1365,DUP,Unionist,2019 Votes
Belfast,Botanic,Y,"HARGEY, Deirdre",Sinn Féin,1325,SF,Nationalist,2019 Votes
Belfast,Botanic,Y,"MCDONOUGH-BROWN, Emmet",Alliance,1143,AP,Other,2019 Votes
Belfast,Botanic,Y,"MCKEOWN, Gary",SDLP,1009,SDLP,Nationalist,2019 Votes
Belfast,Botanic,,"MURRAY, Micky",Alliance,754,AP,Other,2019 Votes
Belfast,Botanic,,"CRAIG, Graham",DUP,615,DUP,Unionist,2019 Votes
Belfast,Botanic,,"BOYLE, Declan",Independent Nationalist,609,Independent Nationalist,Nationalist,2019 Votes
Belfast,Botanic,,"LOUGHRAN, Paul",People Before Profit Alliance,383,PBP,Socialist,2019 Votes
Belfast,Botanic,,"KENNEDY, Richard",UUP,333,UUP,Unionist,2019 Votes
Belfast,Botanic,,"DICKSON, Billy",Independent Unionist,233,Independent Unionist,Unionist,2019 Votes
Belfast,Botanic,,"MALLAGHAN, Caitríona",Sinn Féin,229,SF,Nationalist,2019 Votes
Belfast,Botanic,,"SHANKS, Ian",PUP,170,PUP,Unionist,2019 Votes
Belfast,Botanic,,"LYNN, Paddy",Workers' Party,87,Workers' Party,Socialist,2019 Votes
Belfast,Botanic,,"HIDDLESTON, John Andrew",TUV,82,TUV,Unionist,2019 Votes
Belfast,Castle,Y,"McAllister, Nuala",Alliance,1787,AP,Other,2019 Votes
Belfast,Castle,Y,"Finucane, John",Sinn Féin,1650,SF,Nationalist,2019 Votes
Belfast,Castle,Y,"Cobain, Fred",DUP,1439,DUP,Unionist,2019 Votes
Belfast,Castle,Y,"Spence, Guy",DUP,1407,DUP,Unionist,2019 Votes
Belfast,Castle,,"Campbell, Mary Ellen",Sinn Féin,1103,SF,Nationalist,2019 Votes
Belfast,Castle,,"Browne, David",UUP,1014,UUP,Unionist,2019 Votes
Belfast,Castle,Y,"O'Hara, Mal",Green,882,GP,Other,2019 Votes
Belfast,Castle,Y,"Whyte, Carl Joseph",SDLP,651,SDLP,Nationalist,2019 Votes
Belfast,Castle,,"Wilson, Heather",SDLP,551,SDLP,Nationalist,2019 Votes
Belfast,Castle,,"Convery, Patrick",Independent,377,Independent,Other,2019 Votes
Belfast,Castle,,"Johnston, Riley",People Before Profit Alliance,204,PBP,Socialist,2019 Votes
Belfast,Castle,,"Weir, Gemma",Workers' Party,159,Workers' Party,Socialist,2019 Votes
Belfast,Castle,,"Mullaghan, Cathal",Independent,76,Independent,Other,2019 Votes
Belfast,Collin,Y,"Baker, Danny",Sinn Féin,2196,SF,Nationalist,2019 Votes
Belfast,Collin,Y,"Magennis, Stephen",Sinn Féin,1616,SF,Nationalist,2019 Votes
Belfast,Collin,Y,"Collins, Michael",People Before Profit Alliance,1565,PBP,Socialist,2019 Votes
Belfast,Collin,Y,"Walsh, Seanna",Sinn Féin,1402,SF,Nationalist,2019 Votes
Belfast,Collin,Y,"Garrett, Matt",Sinn Féin,1264,SF,Nationalist,2019 Votes
Belfast,Collin,,"O'Hara, Charlene",Sinn Féin,1187,SF,Nationalist,2019 Votes
Belfast,Collin,Y,"Heading, Brian",SDLP,970,SDLP,Nationalist,2019 Votes
Belfast,Collin,,"McClean, Nichola",Aontú,670,Aontú,Nationalist,2019 Votes
Belfast,Collin,,"Higgins, Donnamarie",Alliance,443,AP,Other,2019 Votes
Belfast,Collin,,"McKee, David Jonathan",DUP,309,DUP,Unionist,2019 Votes
Belfast,Collin,,"Murray,Ellen",Green,241,GP,Other,2019 Votes
Belfast,Collin,,"Rodgers, Fred",UUP,130,UUP,Unionist,2019 Votes
Belfast,Collin,,"Crossan, Paddy",Workers' Party,109,Workers' Party,Socialist,2019 Votes
Belfast,Court,Y,"McCoubrey, Frank",DUP,2227,DUP,Unionist,2019 Votes
Belfast,Court,Y,"Kingston, Brian",DUP,1648,DUP,Unionist,2019 Votes
Belfast,Court,Y,"Canavan, Claire",Sinn Féin,1447,SF,Nationalist,2019 Votes
Belfast,Court,Y,"Black, Tina",Sinn Féin,1396,SF,Nationalist,2019 Votes
Belfast,Court,Y,"Verner, Nicola",DUP,1119,DUP,Unionist,2019 Votes
Belfast,Court,Y,"Hutchinson, Billy",PUP,929,PUP,Unionist,2019 Votes
Belfast,Court,,"McCaffery, Cailin",People Before Profit Alliance,686,PBP,Socialist,2019 Votes
Belfast,Court,,"Anderson, Dave",UUP,385,UUP,Unionist,2019 Votes
Belfast,Court,,"Bunting, Jolene",Independent,351,Independent,Other,2019 Votes
Belfast,Court,,"Fitzlarkin, Tiernan",SDLP,298,SDLP,Nationalist,2019 Votes
Belfast,Court,,"Smyth, Eric",TUV,258,TUV,Unionist,2019 Votes
Belfast,Court,,"Campbell, Ciara",Alliance,253,AP,Other,2019 Votes
Belfast,Court,,"Lowry, Joanne",Workers' Party,166,Workers' Party,Socialist,2019 Votes
Belfast,Court,,"Magner, Sinead",Green,147,GP,Other,2019 Votes
Belfast,Lisnasharragh,Y,"Long, Michael",Alliance,1755,AP,Other,2019 Votes
Belfast,Lisnasharragh,Y,"Brooks, David",DUP,1479,DUP,Unionist,2019 Votes
Belfast,Lisnasharragh,Y,"Hanvey, Eric",Alliance,1429,AP,Other,2019 Votes
Belfast,Lisnasharragh,Y,"Smyth, Brian",Green,1233,GP,Other,2019 Votes
Belfast,Lisnasharragh,Y,"De Faoite, Seamas",SDLP,988,SDLP,Nationalist,2019 Votes
Belfast,Lisnasharragh,Y,"Sandford, Tommy",DUP,951,DUP,Unionist,2019 Votes
Belfast,Lisnasharragh,,"Graham, Aileen",DUP,660,DUP,Unionist,2019 Votes
Belfast,Lisnasharragh,,"Jenkins, Stevie",Sinn Féin,619,SF,Nationalist,2019 Votes
Belfast,Lisnasharragh,,"McGimpsey, Chris",UUP,508,UUP,Unionist,2019 Votes
Belfast,Lisnasharragh,,"Manton, Ben",UUP,415,UUP,Unionist,2019 Votes
Belfast,Lisnasharragh,,"Ferguson, Gwen",PUP,363,PUP,Unionist,2019 Votes
Belfast,Lisnasharragh,,"Mullan, Kate",Independent,204,Independent,Other,2019 Votes
Belfast,Lisnasharragh,,"McComb, Catherine Elizabeth",UKIP,169,UKIP,Unionist,2019 Votes
Belfast,Lisnasharragh,,"Ferguson, Amy",CCLA,160,Other Socialist,Socialist,2019 Votes
Belfast,Lisnasharragh,,"Antova, Ivanka",People Before Profit Alliance,133,PBP,Socialist,2019 Votes
Belfast,Oldpark,Y,"McCusker, Paul",SDLP,2856,SDLP,Nationalist,2019 Votes
Belfast,Oldpark,Y,"Pankurst, Dale William Henry",DUP,1701,DUP,Unionist,2019 Votes
Belfast,Oldpark,Y,"Murphy, Ryan",Sinn Féin,1185,SF,Nationalist,2019 Votes
Belfast,Oldpark,Y,"Magee, JJ",Sinn Féin,1134,SF,Nationalist,2019 Votes
Belfast,Oldpark,Y,"Baker, Shauneen",Sinn Féin,1107,SF,Nationalist,2019 Votes
Belfast,Oldpark,,"Clarke, Mary",Sinn Féin,796,SF,Nationalist,2019 Votes
Belfast,Oldpark,,"Corr-Johnston, Julie-Anne",PUP,575,PUP,Unionist,2019 Votes
Belfast,Oldpark,,"Simpson, Gillian",DUP,573,DUP,Unionist,2019 Votes
Belfast,Oldpark,Y,"Ferguson, Fiona",People Before Profit Alliance,447,PBP,Socialist,2019 Votes
Belfast,Oldpark,,"Armstrong, Jack Conor",Alliance,390,AP,Other,2019 Votes
Belfast,Oldpark,,"Docherty, Jason",UUP,239,UUP,Unionist,2019 Votes
Belfast,Oldpark,,"Veronica, Lesley",Green,231,GP,Other,2019 Votes
Belfast,Oldpark,,"Bailie, Chris",Workers' Party,93,Workers' Party,Socialist,2019 Votes
Belfast,Ormiston,Y,"MCMULLAN, Ross",Alliance,2622,AP,Other,2019 Votes
Belfast,Ormiston,Y,"MCREYNOLDS, Peter",Alliance,1764,AP,Other,2019 Votes
Belfast,Ormiston,Y,"HAIRE, Tom",DUP,1462,DUP,Unionist,2019 Votes
Belfast,Ormiston,Y,"RODGERS, Jim",UUP,1416,UUP,Unionist,2019 Votes
Belfast,Ormiston,Y,"Flynn, Anthony",Green,1301,GP,Other,2019 Votes
Belfast,Ormiston,Y,"HUSSEY, John Colin",DUP,1269,DUP,Unionist,2019 Votes
Belfast,Ormiston,Y,"O'NEILL, SIAN",Alliance,1165,AP,Other,2019 Votes
Belfast,Ormiston,,"SPRATT, Gareth",DUP,857,DUP,Unionist,2019 Votes
Belfast,Ormiston,,"JOHNSTON, Peter",UUP,757,UUP,Unionist,2019 Votes
Belfast,Ormiston,,"ENNIS, William",PUP,394,PUP,Unionist,2019 Votes
Belfast,Ormiston,,"LONSDALE, Keith Derek",UKIP,221,UKIP,Unionist,2019 Votes
Belfast,Ormiston,,"MISTEIL, Laura",Sinn Féin,57,SF,Nationalist,2019 Votes
Belfast,Titanic,Y,"DORRIAN, George",DUP,1270,DUP,Unionist,2019 Votes
Belfast,Titanic,,"O'DONNELL, Mairead",Sinn Féin,1102,SF,Nationalist,2019 Votes
Belfast,Titanic,Y,"KELLY, Michelle",Alliance,1068,AP,Other,2019 Votes
Belfast,Titanic,Y,"HOWARD, Carole",Alliance,1055,AP,Other,2019 Votes
Belfast,Titanic,Y,"KYLE, John",PUP,1027,PUP,Unionist,2019 Votes
Belfast,Titanic,Y,"NEWTON, Adam",DUP,913,DUP,Unionist,2019 Votes
Belfast,Titanic,Y,"COPELAND, Sonia",UUP,852,UUP,Unionist,2019 Votes
Belfast,Titanic,,"SMYLIE, Ben",Green,641,GP,Other,2019 Votes
Belfast,Titanic,,"REYNOLDS, Lee",DUP,586,DUP,Unionist,2019 Votes
Belfast,Titanic,,"BENNETT, Karl",Independent,448,Independent,Other,2019 Votes
Belfast,Titanic,,"HALL-THOMPSON, Colin",UUP,278,UUP,Unionist,2019 Votes
Belfast,Titanic,,"GIRVAN, Paul David",UKIP,228,UKIP,Unionist,2019 Votes
